Station_ID,Site,Lives,Markets,Spat,SBox,DBox,NBox,OBox,z.Lives,z.Markets,z.Spat,z.SBox,z.DBox,z.NBox,z.OBox,p.Lives,p.Markets,p.Spat,p.SBox,p.DBox,p.NBox,p.OBox
327,Lower Deep Water Shoal,117.98255813953489,-22.302325581395348,152.83720930232556,0.5406976744186047,0,0.11046511627906974,-12.575581395348838,0.8008353429397359,-1.2513519338873955,1.7437489758085223,0.3385722875438836,NaN,0.05822739336518296,-0.6686670620047888,0.423,0.211,0.081,0.735,NaN,0.954,0.504
328,Upper Horsehead,-129.6642857142857,-11.8,168.2214285714286,-1.7428571428571429,0,-2.678571428571429,-9.885714285714286,-0.49318907660398753,-0.7154182091454065,0.6912256328912775,-0.7001380888134415,NaN,-0.5355343044272595,-0.9533921528325332,0.622,0.474,0.489,0.484,NaN,0.592,0.34
329,Middle Horsehead,-112.71276595744683,-9.837765957446809,218.8563829787234,-0.5425531914893615,0,-1,-8.51063829787234,-0.4800842807439714,-0.5779996533891323,1.0145957749181318,-0.19615636940611053,NaN,-0.3646203187956106,-1.1596121924669556,0.631,0.563,0.31,0.844,NaN,0.715,0.246
330,Lower Horsehead,-7.875,-3.85,464.1,2.925,0,-2.3,-12.375,-0.025215887527934275,-0.9641236907553591,1.7543498237410262,1.622338087952987,NaN,-0.9968882220026626,-0.9306761104635726,0.98,0.335,0.079,0.105,NaN,0.319,0.352
331,Moon Rock,-209.92708333333331,-3.947916666666667,177.625,1.6875,0,-2.4479166666666665,-13.604166666666666,-1.0340714680238534,-0.8365209270072467,1.0022581601853626,0.6986108983433023,NaN,-0.722897566278163,-1.1792197864521565,0.301,0.403,0.316,0.485,NaN,0.47,0.238
332,V-Rock,-51.29350649350647,-7.153246753246753,161.65454545454546,-0.48051948051948057,0,-0.7012987012987013,-3.3532467532467525,-0.42978368750054174,-0.7712397024919961,1.3453123840634498,-0.264261246784455,NaN,-0.23306972202438384,-0.518173793214119,0.667,0.441,0.179,0.792,NaN,0.816,0.604
335,Shanty Rock,64.1904761904762,3.152380952380952,-32.17142857142858,-1.3714285714285714,0,0.22857142857142865,-1.2000000000000002,0.6627752164611884,0.4997703977122184,-0.24299780601978696,-0.573878545116936,NaN,0.09614284997885175,-0.18377930905596007,0.507,0.617,0.808,0.566,NaN,0.923,0.854
336,Dry Lumps,54.97142857142856,-13.17142857142857,58.38095238095241,-0.37142857142857144,0,-0.12380952380952381,-0.7523809523809515,0.47606042551537736,-1.1903388944368063,0.29205865477679727,-0.26624380487041877,NaN,-0.051216534688997666,-0.1676538362633224,0.634,0.234,0.77,0.79,NaN,0.959,0.867
338,Swash,-48.95454545454545,-1.6,-2.2181818181818187,0.1575757575757576,0,-0.6,-7.381818181818182,-0.3794794441978499,-0.6172471080158299,-0.02349552971271655,0.12945791646039925,NaN,-0.48271795810637097,-0.6595009374728792,0.704,0.537,0.981,0.897,NaN,0.629,0.51
339,Upper Jail Island,16.403841703309425,-0.5690812311964824,3.6375838926174495,-0.14880814626243924,0,0.03425133071048367,-0.41865308956260106,0.17251752119878436,-0.2463426129465947,0.04935938715376948,-0.15630253731400826,NaN,0.05321951805501236,-0.09812308997133679,0.863,0.805,0.961,0.876,NaN,0.958,0.922
