Station_ID	Site	Lives	Markets	Spat	SBox	DBox	NBox	OBox	z.Lives	z.Markets	z.Spat	z.SBox	z.DBox	z.NBox	z.OBox	p.Lives	p.Markets	p.Spat	p.SBox	p.DBox	p.NBox	p.OBox
330	Lower Horsehead	0.02950653	-1.021910232	1.126072621	0.316523312	0	-0.804327111	-0.894497965	0.024574072	-1.166998411	0.822140579	0.47537402	NaN	-1.182914079	-1.056918334	0.98	0.243	0.411	0.635	NaN	0.237	0.291
331	Moon Rock	-0.395945528	-0.922991013	0.681758434	0.201162515	0	-0.841894492	-1.262381969	-0.777920803	-0.939982527	0.735345806	0.289618903	NaN	-1.234455233	-1.881662326	0.437	0.347	0.462	0.772	NaN	0.217	0.06
332	V-Rock	-0.140431187	-0.850037121	0.601703774	-0.057627398	0	-0.021430282	-0.315471573	-0.404594312	-1.185073428	0.819141915	-0.08757706	NaN	-0.028756504	-0.5853783	0.686	0.236	0.413	0.93	NaN	0.977	0.558
335	Shanty Rock	0.00166167	0.243844516	-0.24632466	-0.559404246	0	0.20331581	-0.07358497	7.75E-04	0.215710888	-0.118951418	-0.778713724	NaN	0.269292401	-0.069270749	0.999	0.829	0.905	0.436	NaN	0.788	0.945
336	Dry Lumps	0.464016649	-1.500828832	0.806856145	-0.105217074	0	0.149471786	1.11E-05	0.462622118	-1.963497903	0.558364974	-0.18119767	NaN	0.198690855	1.92E-05	0.644	0.05	0.577	0.856	NaN	0.843	1
338	Swash	-0.343982278	-0.607176038	-0.007646352	0.199767214	0	-0.296070473	-1.31119825	-0.149799113	-0.781323357	-0.003870151	0.422477998	NaN	-0.565104333	-1.009573619	0.881	0.435	0.997	0.673	NaN	0.572	0.313
339	Upper Jail Island	0.377516764	-0.17354416	0.382655514	-0.062284571	0	-0.007217981	0.004166448	0.176450397	-0.241048263	0.199588962	-0.147179505	NaN	-0.021169362	0.004544042	0.86	0.81	0.842	0.883	NaN	0.983	0.996
340	Swash Mud Slough	-0.168405477	-0.454029504	0.023339067	-0.240394889	0	-0.225354655	-0.598770408	-0.078241707	-0.530197423	0.011505605	-0.422303371	NaN	-0.390021136	-0.576357504	0.938	0.596	0.991	0.673	NaN	0.697	0.564
341	Offshore Swash	0.377081088	-0.206409956	0.398680977	-0.086288847	0	-0.088978337	-0.04672275	0.166139545	-0.30998115	0.184218001	-0.16090941	NaN	-0.152715921	-0.045804123	0.868	0.757	0.854	0.872	NaN	0.879	0.963
342	Lower Jail Island	0.762029641	0.410531873	0.76047462	-0.01541847	0	-0.052412531	0.232607839	0.506914277	0.50542883	0.501306756	-0.029989586	NaN	-0.145824919	0.492398801	0.612	0.613	0.616	0.976	NaN	0.884	0.622
343	Offshore Jail Island	-0.41415182	-0.648060389	-0.434400209	-0.241942921	0	-0.091957227	-0.280513618	-0.212735259	-0.61139479	-0.215798754	-0.487595085	NaN	-0.135526032	-0.277417987	0.832	0.541	0.829	0.626	NaN	0.892	0.781
346	Hotel Rock	1.164603552	-0.154257468	1.534688412	0.597391248	0	0.942466818	0.961975258	0.67488869	-0.126683263	0.923749887	0.939604353	NaN	1.79428288	1.267891266	0.5	0.899	0.356	0.347	NaN	0.073	0.205
347	Snyder's Rock	1.528891545	0.923815933	1.920676251	0.120416814	0	-0.280624102	0.808619537	1.220062445	1.037203456	1.425353446	0.194294449	NaN	-0.624541994	1.308185595	0.222	0.3	0.154	0.846	NaN	0.532	0.191
348	Triangle Rock	0.794154157	-0.340562066	1.669951407	-0.006407773	0	0.25988196	0.107546037	0.420329546	-0.311087642	0.919556496	-0.010330034	NaN	0.337469788	0.113321608	0.674	0.756	0.358	0.992	NaN	0.736	0.91
357	Deep Rock	1.207436635	0.163949732	2.072720229	0.499012195	-0.030527987	-0.291090338	0.87161738	0.953261337	0.177820092	1.493845475	0.861764208	-0.119562711	-0.558650788	1.209738634	0.34	0.859	0.135	0.389	0.905	0.576	0.226
361	Tanner Point	1.044957916	-0.382711177	0.484067793	0.549093461	0.231563542	0.133678385	-0.3438602	0.90607172	-0.525930314	0.415419401	1.154578998	0.618556795	0.818912012	-0.41422527	0.365	0.599	0.678	0.248	0.536	0.413	0.679
365	Palace Bar B	-0.774293258	-0.913713295	-0.466998644	0.215989943	0	-0.125200761	-0.549566672	-0.611874157	-1.077543869	-0.404317422	0.610135435	NaN	-0.366698112	-0.791749487	0.541	0.281	0.686	0.542	NaN	0.714	0.429
367	Beverly's 1	0.338770153	-0.326674811	1.276087247	0.381015042	-0.070997333	-0.250401522	1.031116407	0.261663311	-0.337870756	0.910991027	0.926651059	-0.293358459	-0.55869718	1.526045521	0.794	0.735	0.362	0.354	0.769	0.576	0.127
368	Western Branch (Hull Creek)	1.144193402	0.048948663	0.602538867	-0.37443594	0	-0.398334121	-0.735689471	0.93445202	0.055827111	0.44650093	-0.821827057	NaN	-0.583862846	-0.831947694	0.35	0.955	0.655	0.411	NaN	0.559	0.405
369	Hospital Point	0.62008603	-0.287363659	-0.110417515	0.117409651	0	0.313975121	-0.387690014	0.38966584	-0.625548043	-0.071611907	0.220984856	NaN	0.543372968	-0.36733964	0.697	0.532	0.943	0.825	NaN	0.587	0.713
370	Ballard's Marsh	1.473621972	1.241453976	1.951911943	0.322713139	0	0.177862606	0.680613611	1.021784098	1.220411871	0.986021237	0.399438673	NaN	0.444928198	0.885593019	0.307	0.222	0.324	0.69	NaN	0.656	0.376
371	Tow Stake East (25-2)	1.611004585	0.580390303	4.234020216	0.812598042	0.013202803	-0.130409948	0.622137491	1.569498975	0.636057902	2.684347248	1.459501214	0.035953481	-0.438006111	1.308303037	0.117	0.525	0.007	0.144	0.971	0.661	0.191
